
> app@1.0.0 start
> serve dist

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/31/2026 11:35:14 AM ::1 GET /
 HTTP  1/31/2026 11:35:14 AM ::1 Returned 200 in 51 ms
 HTTP  1/31/2026 11:35:14 AM ::1 GET /assets/index-6YGpy0kf.js
 HTTP  1/31/2026 11:35:14 AM ::1 GET /assets/index-BG8S_QwD.css
 HTTP  1/31/2026 11:35:14 AM ::1 Returned 200 in 7 ms
 HTTP  1/31/2026 11:35:14 AM ::1 Returned 200 in 7 ms
 HTTP  1/31/2026 11:35:41 AM ::1 GET /
 HTTP  1/31/2026 11:35:41 AM ::1 Returned 200 in 1 ms
 HTTP  1/31/2026 11:35:41 AM ::1 GET /assets/index-6YGpy0kf.js
 HTTP  1/31/2026 11:35:41 AM ::1 GET /assets/index-BG8S_QwD.css
 HTTP  1/31/2026 11:35:41 AM ::1 Returned 200 in 6 ms
 HTTP  1/31/2026 11:35:41 AM ::1 Returned 200 in 5 ms
